Problem Size,mflops,bandwidth util,memory latency
8388608,3443,13.82,0.26
16777216,3544,14.52,0.26
33554432,3611,14.73,0.28
67108864,3745,14.85,0.29
134217728,3848,15.16,0.24
268435456,3889,15.26,0.24
